geo_id,name,total,hascomputer,dialup,broadband,nointernet,nocomputer
0500000US31081,"Hamilton County, Nebraska",3699,3372,39,3095,238,327
0500000US31099,"Kearney County, Nebraska",2682,2279,20,2080,179,403
0500000US31101,"Keith County, Nebraska",3844,3269,20,3040,209,575
0500000US31119,"Madison County, Nebraska",14254,12353,198,10808,1347,1901
0500000US31135,"Perkins County, Nebraska",1225,1069,7,1001,61,156
0500000US31155,"Saunders County, Nebraska",8326,7258,57,6523,678,1068
0500000US31179,"Wayne County, Nebraska",3657,3325,7,3088,230,332
0500000US31103,"Keya Paha County, Nebraska",326,271,4,246,21,55
0500000US31107,"Knox County, Nebraska",3674,3015,49,2620,346,659
0500000US31111,"Lincoln County, Nebraska",14985,13063,96,11639,1328,1922
0500000US31139,"Pierce County, Nebraska",3026,2617,34,2340,243,409
0500000US31165,"Sioux County, Nebraska",579,470,4,392,74,109
0500000US31025,"Cass County, Nebraska",10005,9160,76,8222,862,845
0500000US31051,"Dixon County, Nebraska",2311,1962,16,1666,280,349
0500000US31057,"Dundy County, Nebraska",865,712,3,608,101,153
0500000US31077,"Greeley County, Nebraska",1034,859,13,701,145,175
0500000US31079,"Hall County, Nebraska",22870,19590,199,17761,1630,3280
0500000US31131,"Otoe County, Nebraska",6452,5501,38,4942,521,951
0500000US31145,"Red Willow County, Nebraska",4459,3790,23,3296,471,669
0500000US31045,"Dawes County, Nebraska",3623,3095,24,2812,259,528
0500000US31033,"Cheyenne County, Nebraska",4434,3832,26,3322,484,602
0500000US31047,"Dawson County, Nebraska",8997,7787,60,6862,865,1210
0500000US31175,"Valley County, Nebraska",1840,1489,0,1302,187,351
0500000US31117,"McPherson County, Nebraska",203,161,0,118,43,42
0500000US31125,"Nance County, Nebraska",1546,1256,3,1141,112,290
0500000US31167,"Stanton County, Nebraska",2410,2123,53,1885,185,287
0500000US31083,"Harlan County, Nebraska",1521,1297,16,1158,123,224
0500000US31009,"Blaine County, Nebraska",218,193,0,173,20,25
0500000US31019,"Buffalo County, Nebraska",19165,17272,71,15643,1558,1893
0500000US31049,"Deuel County, Nebraska",824,706,7,571,128,118
0500000US31087,"Hitchcock County, Nebraska",1209,961,33,806,122,248
0500000US31141,"Platte County, Nebraska",13000,11198,96,9974,1128,1802
0500000US31169,"Thayer County, Nebraska",2283,1862,27,1685,150,421
0500000US31013,"Box Butte County, Nebraska",4801,4071,19,3696,356,730
0500000US32001,"Churchill County, Nevada",9819,8937,71,8055,811,882
0500000US32005,"Douglas County, Nevada",20579,18950,175,17609,1166,1629
0500000US32027,"Pershing County, Nevada",1933,1532,15,1355,162,401
0500000US32009,"Esmeralda County, Nevada",454,383,0,239,144,71
0500000US32013,"Humboldt County, Nevada",6271,5429,24,4847,558,842
0500000US32021,"Mineral County, Nevada",1938,1582,0,1341,241,356
0500000US32033,"White Pine County, Nevada",3529,3051,5,2767,279,478
0500000US32007,"Elko County, Nevada",17688,16297,80,14544,1673,1391
0500000US32017,"Lincoln County, Nevada",2041,1680,10,1550,120,361
0500000US32023,"Nye County, Nevada",18668,16349,233,13541,2575,2319
0500000US32029,"Storey County, Nevada",1598,1372,30,1258,84,226
0500000US32031,"Washoe County, Nevada",177632,162874,576,147202,15096,14758
0500000US32003,"Clark County, Nevada",767954,701851,3175,618385,80291,66103
0500000US32510,"Carson City, Nevada",22461,19864,53,17722,2089,2597
0500000US32019,"Lyon County, Nevada",20528,18315,62,16860,1393,2213
0500000US33005,"Cheshire County, New Hampshire",30319,27093,272,24684,2137,3226
0500000US33013,"Merrimack County, New Hampshire",57843,52749,303,49054,3392,5094
0500000US33009,"Grafton County, New Hampshire",34752,31609,296,28172,3141,3143
0500000US33015,"Rockingham County, New Hampshire",120147,113122,289,107636,5197,7025
0500000US33001,"Belknap County, New Hampshire",24739,22596,161,20715,1720,2143
0500000US33019,"Sullivan County, New Hampshire",17740,15714,83,14027,1604,2026
0500000US33011,"Hillsborough County, New Hampshire",159200,148553,608,139653,8292,10647
0500000US33017,"Strafford County, New Hampshire",48548,44779,197,40729,3853,3769
0500000US33007,"Coos County, New Hampshire",13720,11609,106,10143,1360,2111
0500000US33003,"Carroll County, New Hampshire",21070,19106,109,17667,1330,1964
0500000US34025,"Monmouth County, New Jersey",233874,215333,761,202773,11799,18541
0500000US34037,"Sussex County, New Jersey",53361,49771,319,46809,2643,3590
0500000US34011,"Cumberland County, New Jersey",50608,41837,217,36971,4649,8771
0500000US34013,"Essex County, New Jersey",282502,246794,874,218431,27489,35708
0500000US34029,"Ocean County, New Jersey",225270,197771,1134,180008,16629,27499
