GEO_ID,NAME,totalpopover16,laborforceparticipationrate,unemploymentrate,popabove20underpovertylevel
0500000US35013,"Do�a Ana County, New Mexico",167514,58,8.3,29432
0500000US35015,"Eddy County, New Mexico",43952,62.3,4.5,4233
0500000US35017,"Grant County, New Mexico",22788,49.8,7.6,3514
0500000US35019,"Guadalupe County, New Mexico",3691,37.9,6.3,269
0500000US35021,"Harding County, New Mexico",393,42.5,6.1,33
0500000US35023,"Hidalgo County, New Mexico",3479,50,9.2,571
0500000US35025,"Lea County, New Mexico",51075,60,6.4,5039
0500000US35027,"Lincoln County, New Mexico",16493,44.2,4.3,1709
0500000US35028,"Los Alamos County, New Mexico",14644,67.4,3.5,490
0500000US35029,"Luna County, New Mexico",18484,47.1,12,3497
0500000US35031,"McKinley County, New Mexico",53940,52,15.7,13477
0500000US35033,"Mora County, New Mexico",3751,40.3,7.4,463
0500000US35035,"Otero County, New Mexico",51975,54.6,8,6520
0500000US35037,"Quay County, New Mexico",6602,45.9,6.1,923
0500000US35039,"Rio Arriba County, New Mexico",null,null,null,null
0500000US35041,"Roosevelt County, New Mexico",14858,61.4,9.1,2501
0500000US35043,"Sandoval County, New Mexico",111109,59.2,7.7,10907
0500000US35045,"San Juan County, New Mexico",96618,57.8,8.9,13986
0500000US35047,"San Miguel County, New Mexico",23439,44.3,6.4,4289
0500000US35049,"Santa Fe County, New Mexico",124499,59.4,4.5,10303
0500000US35051,"Sierra County, New Mexico",9533,42.6,10.9,1467
0500000US35053,"Socorro County, New Mexico",13390,43.7,4.7,2745
0500000US35055,"Taos County, New Mexico",27470,54.3,8.4,3477
0500000US35057,"Torrance County, New Mexico",12766,47.2,5.2,2157
0500000US35059,"Union County, New Mexico",3436,46.9,1.5,208
0500000US35061,"Valencia County, New Mexico",60135,53,8.4,8072
0500000US36001,"Albany County, New York",257077,65.4,4.8,21903
0500000US36003,"Allegany County, New York",38593,55.3,6.1,3858
0500000US36005,"Bronx County, New York",1115770,59.7,10.5,210492
0500000US36007,"Broome County, New York",161174,57.9,6.6,19185
0500000US36009,"Cattaraugus County, New York",62339,57.6,6.3,6960
0500000US36011,"Cayuga County, New York",64367,60,5.4,5022
0500000US36013,"Chautauqua County, New York",106146,56.7,6.9,13078
0500000US36015,"Chemung County, New York",69181,56.7,5,6585
0500000US36017,"Chenango County, New York",39486,58.9,5.7,3873
0500000US36019,"Clinton County, New York",67919,55.8,4.8,7343
0500000US36021,"Columbia County, New York",51451,60.4,4.9,4129
0500000US36023,"Cortland County, New York",39880,61.8,4.5,4424
0500000US36025,"Delaware County, New York",38904,54.8,5.1,3908
0500000US36027,"Dutchess County, New York",244486,62.6,5.9,15269
0500000US36029,"Erie County, New York",754647,62.6,4.8,73480
0500000US36031,"Essex County, New York",32344,56.8,5.8,2058
0500000US36033,"Franklin County, New York",41826,52,7.1,4825
0500000US36035,"Fulton County, New York",44067,58.9,6.1,4696
0500000US36037,"Genesee County, New York",47724,65.7,4.7,3456
0500000US36039,"Greene County, New York",40586,52.5,4.6,3443
0500000US36041,"Hamilton County, New York",4023,52.7,8,191
0500000US36043,"Herkimer County, New York",51099,60.5,7.2,4932
0500000US36045,"Jefferson County, New York",89445,64.4,6.5,8483
0500000US36047,"Kings County, New York",2061526,63.5,7,282339
0500000US36049,"Lewis County, New York",21154,60.3,6.9,1876
0500000US36051,"Livingston County, New York",53897,55.8,4.2,5310
0500000US36053,"Madison County, New York",59311,59.7,4.7,3936
0500000US36055,"Monroe County, New York",605112,64.5,5.9,60396
0500000US36057,"Montgomery County, New York",39377,59.3,7.7,5188
0500000US36059,"Nassau County, New York",1098579,65.1,4.3,42243
0500000US36061,"New York County, New York",1419185,67.1,5.7,161066
0500000US36063,"Niagara County, New York",174356,61.1,5.3,15956
0500000US36065,"Oneida County, New York",187123,58.1,5.5,19056
0500000US36067,"Onondaga County, New York",376244,62.6,6,36349
0500000US36069,"Ontario County, New York",89648,63.3,4.1,5889
0500000US36071,"Orange County, New York",292565,64.1,4.9,21015
0500000US36073,"Orleans County, New York",34052,56.3,5.2,3258
0500000US36075,"Oswego County, New York",96871,59.9,7.9,11453
0500000US36077,"Otsego County, New York",51668,58.3,6.4,5398
0500000US36079,"Putnam County, New York",81721,66,5.3,3400
0500000US36081,"Queens County, New York",1881732,64.1,6.2,163109
0500000US36083,"Rensselaer County, New York",131319,65.1,5.1,10626
0500000US36085,"Richmond County, New York",382147,58.2,4.9,32189
0500000US36087,"Rockland County, New York",243191,64.6,5.5,18805
0500000US36089,"St. Lawrence County, New York",89768,53.5,7.4,9945
0500000US36091,"Saratoga County, New York",186630,67,3.8,8134
0500000US36093,"Schenectady County, New York",125412,62.9,6.6,9833
0500000US36095,"Schoharie County, New York",26508,58.1,5.8,2304
0500000US36097,"Schuyler County, New York",14948,59.5,5.5,1487
0500000US36099,"Seneca County, New York",28558,56.5,3.5,2390
0500000US36101,"Steuben County, New York",78331,58.8,6.5,7642
0500000US36103,"Suffolk County, New York",1206115,64.9,4.7,58411
0500000US36105,"Sullivan County, New York",61202,58.2,7.7,5619
0500000US36107,"Tioga County, New York",39894,61.7,6.3,2793
0500000US36109,"Tompkins County, New York",89418,58.9,4.6,14362
0500000US36111,"Ulster County, New York",150935,61.3,6.2,14765
0500000US36113,"Warren County, New York",54214,61.7,4.4,4030
0500000US36115,"Washington County, New York",51390,58.9,5.7,4220
0500000US36117,"Wayne County, New York",73471,63.4,5.9,5537
0500000US36119,"Westchester County, New York",778474,65.5,5.8,47857
0500000US36121,"Wyoming County, New York",33373,59.1,5.9,2261
0500000US36123,"Yates County, New York",20044,58.6,4.7,1423
0500000US37001,"Alamance County, North Carolina",128498,62.4,5.7,13753
0500000US37003,"Alexander County, North Carolina",30473,57.2,6.7,2706
0500000US37005,"Alleghany County, North Carolina",9319,51.9,5.9,1445
0500000US37007,"Anson County, North Carolina",20986,54.8,9.9,2330
0500000US37009,"Ashe County, North Carolina",22515,58.1,4.6,2643
0500000US37011,"Avery County, North Carolina",15221,46.2,4.3,1204
0500000US37013,"Beaufort County, North Carolina",38636,53.6,8.9,5173
0500000US37015,"Bertie County, North Carolina",16533,51.3,11.7,2257
0500000US37017,"Bladen County, North Carolina",27443,50.2,7.1,4653
0500000US37019,"Brunswick County, North Carolina",108647,50,6.3,9088
0500000US37021,"Buncombe County, North Carolina",211459,61.6,4,18404
0500000US37023,"Burke County, North Carolina",74592,56.4,8.9,9120
0500000US37025,"Cabarrus County, North Carolina",155253,68.3,6,11162
0500000US37027,"Caldwell County, North Carolina",66952,58,6.6,7548
0500000US37029,"Camden County, North Carolina",8185,62,9.3,597
0500000US37031,"Carteret County, North Carolina",58076,57.6,6.6,4774
0500000US37033,"Caswell County, North Carolina",18881,54.3,6.8,2088
0500000US37035,"Catawba County, North Carolina",125800,62.4,7,10975
0500000US37037,"Chatham County, North Carolina",57251,58.1,5.1,4264
0500000US37039,"Cherokee County, North Carolina",23432,47,6.4,2532
0500000US37041,"Chowan County, North Carolina",11660,51.9,11,1445
0500000US37043,"Clay County, North Carolina",9044,49.7,2.3,894
0500000US37045,"Cleveland County, North Carolina",78454,55.8,9.2,10336
0500000US37047,"Columbus County, North Carolina",45503,46.7,7,6291
0500000US37049,"Craven County, North Carolina",82691,61.3,8,7453
0500000US37051,"Cumberland County, North Carolina",258085,64.6,9,30490
0500000US37053,"Currituck County, North Carolina",20662,62.6,4.8,1624
0500000US37055,"Dare County, North Carolina",29589,64.7,5.2,1834
0500000US37057,"Davidson County, North Carolina",132344,60.5,7.2,13626
0500000US37059,"Davie County, North Carolina",34277,59.6,5.5,3021
0500000US37061,"Duplin County, North Carolina",46257,58.3,9,7057
0500000US37063,"Durham County, North Carolina",247146,67.7,5.2,26726
0500000US37065,"Edgecombe County, North Carolina",42632,55.5,7.9,6618
0500000US37067,"Forsyth County, North Carolina",294840,61.6,6.4,34022
0500000US37069,"Franklin County, North Carolina",52103,60.6,5.5,4832
0500000US37071,"Gaston County, North Carolina",173080,61.3,6.7,18453
0500000US37073,"Gates County, North Carolina",9468,59.1,6.8,619
0500000US37075,"Graham County, North Carolina",7031,48.6,6.9,733
0500000US37077,"Granville County, North Carolina",48158,58.1,6.1,4154
0500000US37079,"Greene County, North Carolina",17121,52.5,9.7,2608
0500000US37081,"Guilford County, North Carolina",419915,63.4,6,44868
0500000US37083,"Halifax County, North Carolina",41892,50.8,8.7,6768
0500000US37085,"Harnett County, North Carolina",99012,60,7.9,11117
0500000US37087,"Haywood County, North Carolina",50872,54.9,4.7,4371
0500000US37089,"Henderson County, North Carolina",94241,56.6,2.9,6510
0500000US37091,"Hertford County, North Carolina",20073,52.2,11,2560
0500000US37093,"Hoke County, North Carolina",39788,59.2,9.1,5682
0500000US37095,"Hyde County, North Carolina",4332,51.1,10.4,557
0500000US37097,"Iredell County, North Carolina",137060,64.8,6,10717
0500000US37099,"Jackson County, North Carolina",35861,54.5,4.7,4896
0500000US37101,"Johnston County, North Carolina",146789,64.7,5.5,12361
0500000US37103,"Jones County, North Carolina",8099,53.2,8.9,1380
0500000US37105,"Lee County, North Carolina",46838,62.1,7.9,4864
0500000US37107,"Lenoir County, North Carolina",45879,58.3,12.3,6650
0500000US37109,"Lincoln County, North Carolina",66051,61.6,6.4,6214
0500000US37111,"McDowell County, North Carolina",37058,53.6,5.8,4374
0500000US37113,"Macon County, North Carolina",28732,50.9,4.5,2789
0500000US37115,"Madison County, North Carolina",17910,56.3,5.6,2127
0500000US37117,"Martin County, North Carolina",18896,55.1,10.9,2164
0500000US37119,"Mecklenburg County, North Carolina",827113,71.2,5.8,73169
0500000US37121,"Mitchell County, North Carolina",12634,51.8,4.3,1211
0500000US37123,"Montgomery County, North Carolina",21798,51,4.8,2690
0500000US37125,"Moore County, North Carolina",77525,57.1,5.3,6099
